Tramo;Zona;1984-1987;1987-1992;1992-1996;1996-2000;2000-2004;2004-2008;2008-2012;2012-2016;2016-2020
1;A1;35462.922;120327.878;154772.396;71482.673;118085.602;27514.213;62281.45;56252.467;394884.415
2;A1;60081.053;111990.649;211607.469;36719.423;124270.445;69796.098;122092.646;241825.723;232347.869
3;A1;36223.969;81059.946;82888.919;16858.898;116239.505;62975.349;75428.166;176309.122;164764.624
4;A1;135583.165;108315.506;117581.931;65920.678;157214.352;69692.75;154005.181;585268.362;70045.175
5;A1;73033.611;287113.421;196788.052;51965.946;123347.138;135064.044;93920.157;223088.798;153741.121
6;A1;40820.604;364336.376;250172.559;47175.711;205355.248;154129.477;81755.444;157353.075;299966.32
7;A1;101237.932;234842.141;297316.157;165269.492;144573.148;353103.403;187323.337;201926.202;394699.272
8;A1;75421.753;314877.405;111284.579;165202.301;191443.283;107304.446;324929.099;65502.727;342752.797
9;A1;10336.852;253242.567;129777.425;33448.216;162887.538;59690.82;92084.769;61170.02;147782.516
10;A1;56181.238;252976.482;160317.24;137596.436;87773.126;27876.362;32710.833;149335.825;199275.582
11;A2;114347.702;68863.306;362497.503;199692.756;311677.45;33595.716;82401.215;398807.512;400925.991
12;A2;161812.675;558599.809;249961.815;148120.901;381935.723;64013.655;328213.857;379861.678;251251.275
13;A2;304506.196;346278.612;420698.154;130500.532;792187.995;116424.859;135888.945;462234.464;418143.515
14;A2;72084.375;209586.619;505215.487;121970.689;319209.15;82245.908;201203.266;327723.028;782275.637
15;A2;74835.696;259401.205;109184.118;69480.009;225918.845;91830.239;178793.412;238274.513;136553.679
16;A2;62805.336;120953.798;138325.88;126512.513;326539.129;74179.801;143132.784;167601.806;401417.667
17;A2;68007.575;194732.915;140419.424;117180.128;404202.997;144108.758;234970.372;475982.084;447135.972
18;A2;37681.208;92784.019;66997.832;55598.778;197060.911;99852.419;193157.351;270827.829;393017.877
19;A2;52091.973;123114.122;92415.94;77155.23;279873.092;100845.412;70810.656;120964.128;86978.113
20;A2;89062.32;284260.961;39784.738;82413.897;161185.716;218207.561;113419.2;357926.776;599548.221
21;A2;52978.407;89949.841;70404.776;19825.313;93586.526;21877.846;88797.788;179139.182;232043.747
22;A2;77143.486;295040.801;422357.427;808307.38;156806.612;125329.278;162106.467;277324.53;238689.362
23;A3;46983.091;219004.259;223695.721;173474.516;163557.795;84260.651;152844.856;97675.325;105478.587
24;A3;199210.895;419284.328;267439.845;91348.659;261270.335;121504.949;219712.353;345443.26;343136.149
25;A3;35773.105;83701.907;124019.566;60909.528;111772.353;85069.493;137826.098;172619.903;158955.702
26;A3;34726.975;135395.558;81084.463;35451.56;99611.598;54959.421;85783.367;124950.908;112404.794
27;A3;44899.987;215735.717;114946.77;44978.4;156406.614;89878.862;176382.208;157784.996;186772.844
28;A3;53304.39;63473.263;87829.56;10226.551;68193.325;43598.547;48605.02;87112.062;110117.931
29;A3;86818.091;229310.472;186545.324;47941.678;162100.793;184630.62;122992.923;344168.281;676964.412
30;A3;50237.978;98867.334;87247.611;27533.301;69437.017;97029.107;57213.633;63535.409;137484.277
31;A3;19698.014;97107.954;64050.695;21008.687;95183.796;97367.771;87493.993;123090.765;185309.829
32;A3;10877.511;40921.828;77735.768;10995.412;29744.956;69451.41;13189.348;91011.878;59334.023
33;A3;65964.4;40337.965;66581.227;10774.214;101417.107;103432.951;16455.804;79237.96;103263.297
34;A3;53556.403;70371.125;68788.523;1196.603;96779.87;75375.942;7931.985;49599.589;61166.229
35;A3;99663.582;121831.149;195385.775;25115.138;85910.732;130787.211;59105.627;77749.174;135094.929
36;A3;63471.781;108950.348;147011.088;29244.255;138015.953;104473.962;166973.601;119771.523;116458.18
37;A3;73611.167;56561.582;82586.107;6374.526;43239.854;50375.603;52267.142;81901.734;254737.337
38;A3;16448.442;52028.295;16434.963;48631.217;9284.707;5965.94;460.44;16723.334;4179.106
